site,in_out,shrub_tree,Adenocarpus telonensis,Arbutus unedo,bare,Calicotome villosa,Calluna vulgaris,Ceratonia siliqua,Cistus albidus,Cistus crispus,Cistus ladanifer,Cistus populifolius,Cistus salvifolius,Crataegus monogyna,Cytisus striatus,Daphne gnidium,Dittrichia viscosa,Erica arborea,Erica australis,Erica scoparia,Genista triacanthos,Genista tridens,Genista tridentata,Halimium halimifolium,Ilex aquifolium,Lavandula stoechas,Lithodora prostrata,Myrtus communis,Olea europaea,Phillyrea angustifolia,Phillyrea latifolia,Phlomys purpurea,Pinus pinaster,Pistacia lentiscus,Pyrus bourgaeana,Quercus canariensis,Quercus lusitanica,Quercus pyrenaica,Quercus suber,Rosa sempervirens,Rubus ulmifolius,Stauracanthus boivinii,Teucrium fruticans,Thymus baeticus,Ulex borgiae,Viburnum tinus
Beatas1,outside,shrub,0,0,15.05,5.8,0,0,0,0,0,0,0.7000000000000022,0,0,0.49999999999999867,0,0,14.550000000000004,0,1.0000000000000002,0,0,0,0,0.10000000000000142,0,1.8000000000000016,1.7499999999999996,0,0.4500000000000006,0.3000000000000007,0,14.3,0,0,0,0,1.9999999999999991,0,0.19999999999999996,0,0.09999999999999964,0,1,0
Beatas1,outside,tree,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,2.900000000000002,0,0,0,0,0,0,NA
Caheruelas4,inside,shrub,0,0,9.05,0.10000000000000142,3.0999999999999996,0,0,0,4.100000000000001,0,6.800000000000004,0,0,0,0,0,0,13.399999999999999,0,0.4,0,0,0,9.45,0.20000000000000107,2.4499999999999997,1.2000000000000006,0,0,0,0,4.799999999999997,0,0,0,0,0.9000000000000004,0,0,9.45,1.4999999999999991,0,0,0
Caheruelas4,inside,tree,0,0,31.200000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0
Caheruelas4,outside,shrub,0,0,28.450000000000003,1.3999999999999995,0.20000000000000107,0,0,0,0,0,3.1,0,0,0,0,0,0,10.75,0,1.9999999999999993,0,0,0,0.29999999999999893,0,0,0.20000000000000107,0,0,0,0,3.5999999999999996,0,0,0,0,0,0,0.5,0.2999999999999976,0.09999999999999964,0,0,0
Caheruelas4,outside,tree,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0
Caheruelas5,inside,shrub,0,0,14.15,2.450000000000003,0,0,0,0,1.7500000000000013,0,6.099999999999996,0,0,0,0,0,1.15,8.250000000000002,0,0.9499999999999993,0,0,0,6.7499999999999964,0,0,1.1000000000000032,0,0,4.399999999999997,0,6.100000000000001,0,0,0,0,0,0,0,2.5000000000000013,0.10000000000000142,0.40000000000000036,0,0
Caheruelas5,inside,tree,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
Caheruelas5,outside,shrub,0,0,22.700000000000003,4.850000000000001,0,0,0,0,0.20000000000000107,0,2.1800000000000015,0,0,0,0,0,0,1.5999999999999996,0,0,0,0,0,0,0,0,0.6999999999999993,0,0,0,0,19.200000000000003,0,0,0,0,0,0,0,0.14999999999999858,0,0,0.8500000000000001,0
Caheruelas5,outside,tree,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,NA
Cucarretes1,inside,shrub,0,0.10000000000000142,4.85,0.9499999999999993,4.749999999999998,0,0,0,0,0,1.5999999999999994,0,0,0,0,3.8999999999999932,1.4000000000000004,22.400000000000006,0,15.800000000000004,0.24999999999999822,0,0,0,0.1999999999999993,0.5500000000000007,0,0,1.5500000000000025,0,0,0.8500000000000014,0,0,0,0,0,0,1.1000000000000014,0,4.8,0,3.399999999999996,0
Cucarretes1,inside,tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Cucarretes1,outside,shrub,0,0,19,5.8000000000000025,0,0,0,0,0,0,4.399999999999999,0.75,0,0,0,4.650000000000002,0,6.749999999999998,0,1.3500000000000014,0,0,0,0,0,0.6000000000000001,0,0,1.8999999999999995,0,0,4.6000000000000005,0,0,0,0,0.20000000000000284,0,1.1500000000000044,0,1.0000000000000004,0,5.049999999999999,0
Cucarretes1,outside,tree,0,6.299999999999997,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0
Cucarretes2,inside,shrub,0,0,15.100000000000001,0,0,0,0,0,0,0,1.4500000000000002,0,0,0,0,7.4,0,11.100000000000003,0,0,1.9000000000000004,0,0,0,0,0,0,0,0.2999999999999998,0,0,0,0,0,0,0,2.8000000000000007,0,0,1.599999999999997,0.999999999999999,0,11.550000000000002,0
Cucarretes2,inside,tree,0,0,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.699999999999999,0,0,0,0,0,0,0
Cucarretes2,outside,shrub,0,0,18.55,2.350000000000004,0,0,0,0,0,0,4.149999999999992,0,0.2999999999999998,0,0,3.999999999999997,0,6.549999999999999,0,1.0000000000000004,0.7000000000000005,0,0,1.8000000000000025,0,0,0,0,0.5999999999999979,0,0,0,0,0,0,0,0.10000000000000142,0,0,1.1000000000000005,0.6,0,13.499999999999996,0
Cucarretes2,outside,tree,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.799999999999997,0,0,12.2,0,0,0,0,0,0,0
Cuevas_Hospital2,inside,shrub,0,0,13.200000000000001,4.699999999999998,1.8000000000000007,0,0,0,0,0,0.10000000000000142,0,0,0,11.599999999999998,0,8.700000000000001,0,1.200000000000001,0,0,0,0,0,0,0,0.3000000000000007,0,0.3000000000000007,0,0,3.950000000000001,0,0,0,0,0,0,7.6,0,3.9999999999999996,0,9.4,0
Cuevas_Hospital2,inside,tree,0,1.8000000000000007,26.200000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5999999999999979,0,0,0,23.8,0,0,0,0,0,0,0
Cuevas_Hospital2,outside,shrub,0,0,13.45,6.5,0,0,0,0,0,0,1.399999999999995,7.099999999999998,0,1,0,0,11.199999999999998,0,1.5999999999999996,0,0,0,0,0,0,0,1.1000000000000014,0,0.49999999999999867,0,0.30000000000000027,1.7000000000000035,0,0,0,0,0.20000000000000018,0,3.200000000000002,0,0.9000000000000021,0,10.050000000000004,0
Cuevas_Hospital2,outside,tree,0,8.8,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.500000000000004,0,0,0,0,0,0,0
Faldas_Rubio1,inside,shrub,0,0,13.8,0,0.5,0,0,0,0,0,2.8000000000000016,0,0,2.099999999999998,0,0,11.8,0,1.2000000000000022,0,0,0,1.5499999999999998,0.10000000000000142,0,0.7,0.3999999999999986,0,3.3999999999999986,0,0,3.5000000000000018,0,0,0,0,3.5499999999999976,0,1.2000000000000015,3.1999999999999993,0.5,0,8.099999999999998,0
Faldas_Rubio1,inside,tree,0,0,15.100000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8999999999999999,0,0,0,3.6999999999999993,0,0,0,0,0,0,0,0,0,30.299999999999997,0,0,0,0,0,0,0
Faldas_Rubio1,outside,shrub,0,0,13.05,0,1.6499999999999995,0,0,0,0,0,0.1999999999999993,0,0,0.7999999999999989,0,0,31.100000000000005,0,3.849999999999995,0,0,0,0,0.40000000000000036,0,0,0,0,0,0,0,0,0,0,0,0,0.20000000000000284,0,0,1.8000000000000007,0,0,1.5,0
Faldas_Rubio1,outside,tree,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,0
Faldas_Rubio2,inside,shrub,0,0,12.3,5.099999999999998,0,0,0,0.5,0,0,8.100000000000009,0,0,21.799999999999997,0,0,0,0,1.9,0,0,0,0,0,0,0,0.6000000000000004,0,0,0,0,2.5,0.2,0,0,0,1.4999999999999991,0,2.099999999999998,7.900000000000002,1.7000000000000002,0,0,0
Faldas_Rubio2,inside,tree,0,0,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0
Faldas_Rubio2,outside,shrub,0,0,25.25,3.499999999999999,0,0,0,0,0,0,7.700000000000005,0,0,0.8999999999999999,0,0,6.600000000000002,0,1.399999999999999,0,0,0,0,0,0,0,1.7999999999999994,0,0.20000000000000018,0,0,4.200000000000002,0,0,0,0,0.3000000000000007,0,0.6999999999999998,3.6499999999999986,0,0,0.5,0
Faldas_Rubio2,outside,tree,0,0,16.400000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.600000000000001,0,0,0,0,0,0,NA
