site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Rubus ulmifolius,Rubuulmi,tree,0,0,NA,2,NA,NA,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Thymus baeticus,Thymbaet,tree,0,0,NA,NA,NA,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Pistacia lentiscus,Pistlent,shrub,0,0,NA,5,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus lusitanica,Querlusi,tree,0,0,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Lavandula stoechas,Lavastoe,tree,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Pyrus bourgaeana,Pyrubour,tree,0,0,NA,4,NA,2,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus albidus,Cistalbi,tree,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus pyrenaica,Querpyre,tree,0,0,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Genista tridentata,Genitrid,tree,0,0,NA,2,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Phillyrea latifolia,Phillati,tree,0,0,NA,2,NA,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Erica scoparia,Ericscop,shrub,20.05,1,3,5,1,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Phlomys purpurea,Phlopurp,tree,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Adenocarpus telonensis,Adentelo,tree,0,0,NA,2,NA,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Crataegus monogyna,Cratmono,tree,0,0,NA,3,1,2,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Pyrus bourgaeana,Pyrubour,shrub,0,0,NA,4,NA,2,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus canariensis,Quercana,shrub,0,0,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Rubus ulmifolius,Rubuulmi,shrub,0,0,NA,2,NA,NA,intermedio
