species,site,shrub_tree,in_out,cover,presence
Arbutus unedo,Teja1,tree,outside,0,0
bare,Aljibe,shrub,inside,3.1,1
bare,Aljibe,tree,inside,37.25,1
bare,Aljibe,shrub,outside,9.3,1
bare,Aljibe,tree,outside,0,0
bare,Barrancones,shrub,inside,35.6,1
bare,Barrancones,tree,inside,1.9000000000000001,1
bare,Barrancones,shrub,outside,24.35,1
bare,Barrancones,tree,outside,14.4,1
bare,Beatas1,shrub,inside,9.45,1
bare,Beatas1,tree,inside,29.800000000000004,1
bare,Beatas1,shrub,outside,15.05,1
bare,Beatas1,tree,outside,18.7,1
bare,Caheruelas4,shrub,inside,9.05,1
bare,Caheruelas4,tree,inside,31.200000000000003,1
bare,Caheruelas4,shrub,outside,28.450000000000003,1
bare,Caheruelas4,tree,outside,25.5,1
bare,Caheruelas5,shrub,inside,14.15,1
bare,Caheruelas5,tree,inside,24,1
bare,Caheruelas5,shrub,outside,22.700000000000003,1
bare,Caheruelas5,tree,outside,20.5,1
bare,Cucarretes1,shrub,inside,4.85,1
bare,Cucarretes1,tree,inside,0,0
bare,Cucarretes1,shrub,outside,19,1
bare,Cucarretes1,tree,outside,36.9,1
bare,Cucarretes2,shrub,inside,15.100000000000001,1
bare,Cucarretes2,tree,inside,42.3,1
bare,Cucarretes2,shrub,outside,18.55,1
bare,Cucarretes2,tree,outside,34,1
bare,Cuevas_Hospital2,shrub,inside,13.200000000000001,1
bare,Cuevas_Hospital2,tree,inside,26.200000000000003,1
bare,Cuevas_Hospital2,shrub,outside,13.45,1
bare,Cuevas_Hospital2,tree,outside,22.8,1
bare,Faldas_Rubio1,shrub,inside,13.8,1
bare,Faldas_Rubio1,tree,inside,15.100000000000001,1
bare,Faldas_Rubio1,shrub,outside,13.05,1
bare,Faldas_Rubio1,tree,outside,15.5,1
bare,Faldas_Rubio2,shrub,inside,12.3,1
bare,Faldas_Rubio2,tree,inside,34.2,1
bare,Faldas_Rubio2,shrub,outside,25.25,1
bare,Faldas_Rubio2,tree,outside,16.400000000000002,1
bare,Garganta_Honda,shrub,inside,5.800000000000001,1
bare,Garganta_Honda,tree,inside,16.400000000000002,1
bare,Garganta_Honda,shrub,outside,16.25,1
bare,Garganta_Honda,tree,outside,13.4,1
bare,Gavilanes,shrub,inside,27.3,1
bare,Gavilanes,tree,inside,0,0
bare,Gavilanes,shrub,outside,23.55,1
bare,Gavilanes,tree,outside,11,1
bare,Hernan_Martin,shrub,inside,12.650000000000002,1
bare,Hernan_Martin,tree,inside,15.100000000000001,1
bare,Hernan_Martin,shrub,outside,26.8,1
